Product Name,brand,Image URL,Price,mst,desc,hex,product_type,product,imgSrc,price,makeup_products,products
"Lakme Xtraordin-Airy One-And-Done Lip, Eye & Cheek Tint",Lakme,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/8/5/85a96df8901030698323_1.jpg",559.0,Light,"Beautiful lakme xtraordin-airy one-and-done lip, eye & cheek tint for a flawless finish",#b4f457,Lipstick,"Lakme Xtraordin-Airy One-And-Done Lip, Eye & Cheek Tint","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/8/5/85a96df8901030698323_1.jpg",559.0,,
WELL-RESTED Talc-Free Under Eye Brightener Mineral SPF 20,bareMinerals,https://media.ulta.com/i/ulta/2124551?w=400&$ProductCardNeutralBGLight$&fmt=auto,27.0,Light,Beautiful well-rested talc-free under eye brightener mineral spf 20 for a flawless finish,#cd33af,Makeup,WELL-RESTED Talc-Free Under Eye Brightener Mineral SPF 20,https://media.ulta.com/i/ulta/2124551?w=400&$ProductCardNeutralBGLight$&fmt=auto,27.0,,
Shape Tape Radiant Concealer,Tarte,https://media.ulta.com/i/ulta/2610327?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,Medium,Beautiful shape tape radiant concealer for a flawless finish,#47013e,Concealer,Shape Tape Radiant Concealer,https://media.ulta.com/i/ulta/2610327?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,,
Magnum XXX Volumizing Mascara,Stila,https://media.ulta.com/i/ulta/2549809?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,Rich,Beautiful magnum xxx volumizing mascara for a flawless finish,#82366c,Mascara,Magnum XXX Volumizing Mascara,https://media.ulta.com/i/ulta/2549809?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,,
Pinky Goat False Lashes - Diya,Pinky Goat,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/5/b5c11075060580001137_1.jpg",899.0,Medium,Beautiful pinky goat false lashes - diya for a flawless finish,#a48662,Mascara,Pinky Goat False Lashes - Diya,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/5/b5c11075060580001137_1.jpg",899.0,,
KVD Beauty Tattoo Pencil Liner Waterproof Long-Wear Gel Eyeliner,KVD Beauty,https://media.ulta.com/i/ulta/2596267?w=400&$ProductCardNeutralBGLight$&fmt=auto,23.0,Light,Beautiful kvd beauty tattoo pencil liner waterproof long-wear gel eyeliner for a flawless finish,#4775be,Eyeliner,KVD Beauty Tattoo Pencil Liner Waterproof Long-Wear Gel Eyeliner,https://media.ulta.com/i/ulta/2596267?w=400&$ProductCardNeutralBGLight$&fmt=auto,23.0,,
ICONIC London Light And Glow Duo,ICONIC London,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/c/0/c0a4befICONI00000090_1.jpg",2970.0,Medium,Beautiful iconic london light and glow duo for a flawless finish,#dd97df,Makeup,ICONIC London Light And Glow Duo,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/c/0/c0a4befICONI00000090_1.jpg",2970.0,,
MACPro Longwear Paint Pot Cream Eyeshadow,MAC,https://media.ulta.com/i/ulta/2510826?w=400&$ProductCardNeutralBGLight$&fmt=auto,28.0,Medium,Beautiful macpro longwear paint pot cream eyeshadow for a flawless finish,#8c955c,Eyeshadow,MACPro Longwear Paint Pot Cream Eyeshadow,https://media.ulta.com/i/ulta/2510826?w=400&$ProductCardNeutralBGLight$&fmt=auto,28.0,,
FENTY BEAUTY by Rihanna Soft'Lit Naturally Luminous Hydrating Longwear Foundation,FENTY BEAUTY by Rihanna,https://media.ulta.com/i/ulta/2624157?w=400&$ProductCardNeutralBGLight$&fmt=auto,40.0,Deep,Beautiful fenty beauty by rihanna soft'lit naturally luminous hydrating longwear foundation for a flawless finish,#3db63f,Foundation,FENTY BEAUTY by Rihanna Soft'Lit Naturally Luminous Hydrating Longwear Foundation,https://media.ulta.com/i/ulta/2624157?w=400&$ProductCardNeutralBGLight$&fmt=auto,40.0,,
Too Faced Chocolate Soleil Melting Bronzing and Sculpting Stick,Too Faced,https://media.ulta.com/i/ulta/2622394?w=400&$ProductCardNeutralBGLight$&fmt=auto,35.0,Medium,Beautiful too faced chocolate soleil melting bronzing and sculpting stick for a flawless finish,#a4cf63,Makeup,Too Faced Chocolate Soleil Melting Bronzing and Sculpting Stick,https://media.ulta.com/i/ulta/2622394?w=400&$ProductCardNeutralBGLight$&fmt=auto,35.0,,
Plum Eye-swear-by Kohl Kajal,Plum,https://images-static.naikaa.com/beauty-blog/wp-content/uploads/2024/02/DPTWBTB-6.jpg,,Rich,Beautiful plum eye-swear-by kohl kajal for a flawless finish,#58c291,Makeup,Plum Eye-swear-by Kohl Kajal,https://images-static.naikaa.com/beauty-blog/wp-content/uploads/2024/02/DPTWBTB-6.jpg,,,
Nudestix Nudies Bronze All Over Face Color,Nudestix,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/b/1b90169839174002332_01.jpg",3325.0,Medium,Beautiful nudestix nudies bronze all over face color for a flawless finish,#6aaece,Makeup,Nudestix Nudies Bronze All Over Face Color,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/b/1b90169839174002332_01.jpg",3325.0,,
PÜR On Point Eyeliner Pencil,PÜR,https://media.ulta.com/i/ulta/2626382?w=400&$ProductCardNeutralBGLight$&fmt=auto,20.0,Light,Beautiful pür on point eyeliner pencil for a flawless finish,#909804,Eyeliner,PÜR On Point Eyeliner Pencil,https://media.ulta.com/i/ulta/2626382?w=400&$ProductCardNeutralBGLight$&fmt=auto,20.0,,
ANUA Travel Size Heartleaf Pore Control Cleansing Oil,ANUA,https://media.ulta.com/i/ulta/2635547?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.99,Medium,Beautiful anua travel size heartleaf pore control cleansing oil for a flawless finish,#35bb27,Makeup,ANUA Travel Size Heartleaf Pore Control Cleansing Oil,https://media.ulta.com/i/ulta/2635547?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.99,,
DIOR Addict 24H Hydration Plumping Gloss Lip Maximizer,DIOR,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/a/a/aa8d45fDIORX00001098_1.jpg",4100.0,Light,Beautiful dior addict 24h hydration plumping gloss lip maximizer for a flawless finish,#ad63d5,Lipstick,DIOR Addict 24H Hydration Plumping Gloss Lip Maximizer,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/a/a/aa8d45fDIORX00001098_1.jpg",4100.0,,
FLOWER Beauty Light Illusion Full Coverage Concealer,FLOWER Beauty,https://media.ulta.com/i/ulta/2524987?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.0,Rich,Beautiful flower beauty light illusion full coverage concealer for a flawless finish,#f0dafb,Concealer,FLOWER Beauty Light Illusion Full Coverage Concealer,https://media.ulta.com/i/ulta/2524987?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.0,,
"Foxtale Brightening Lip Balm With Peptides, Vitamin C & Hyaluronic Acid - Pink Glaze",Foxtale,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/b/bb141c8FOXTA00000132_1.jpg",234.0,Rich,"Beautiful foxtale brightening lip balm with peptides, vitamin c & hyaluronic acid - pink glaze for a flawless finish",#3e854b,Lipstick,"Foxtale Brightening Lip Balm With Peptides, Vitamin C & Hyaluronic Acid - Pink Glaze","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/b/bb141c8FOXTA00000132_1.jpg",234.0,,
Benefit Cosmetics BADgal BANG! Volumizing Mascara,Benefit Cosmetics,https://media.ulta.com/i/ulta/2522828?w=400&$ProductCardNeutralBGLight$&fmt=auto,20.3,Rich,Beautiful benefit cosmetics badgal bang! volumizing mascara for a flawless finish,#615b69,Mascara,Benefit Cosmetics BADgal BANG! Volumizing Mascara,https://media.ulta.com/i/ulta/2522828?w=400&$ProductCardNeutralBGLight$&fmt=auto,20.3,,
Unlocked Instant Extensions Mascara,HOURGLASS,https://media.ulta.com/i/ulta/2572577?w=400&$ProductCardNeutralBGLight$&fmt=auto,33.0,Rich,Beautiful unlocked instant extensions mascara for a flawless finish,#9778d2,Mascara,Unlocked Instant Extensions Mascara,https://media.ulta.com/i/ulta/2572577?w=400&$ProductCardNeutralBGLight$&fmt=auto,33.0,,
Bye Bye Pores Bronzer,IT Cosmetics,https://media.ulta.com/i/ulta/2527643?w=400&$ProductCardNeutralBGLight$&fmt=auto,36.0,Medium,Beautiful bye bye pores bronzer for a flawless finish,#9f7bf8,Bronzer,Bye Bye Pores Bronzer,https://media.ulta.com/i/ulta/2527643?w=400&$ProductCardNeutralBGLight$&fmt=auto,36.0,,
Toleriane Purifying Foaming Face Wash for Oily Skin,La Roche-Posay,https://media.ulta.com/i/ulta/2503388?w=400&$ProductCardNeutralBGLight$&fmt=auto,,Medium,Beautiful toleriane purifying foaming face wash for oily skin for a flawless finish,#75b21d,Makeup,Toleriane Purifying Foaming Face Wash for Oily Skin,https://media.ulta.com/i/ulta/2503388?w=400&$ProductCardNeutralBGLight$&fmt=auto,,,
e.l.f. Cosmetics Camo Color Corrector,e.l.f. Cosmetics,https://media.ulta.com/i/ulta/2604945?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.0,Light,Beautiful e.l.f. cosmetics camo color corrector for a flawless finish,#2304ca,Makeup,e.l.f. Cosmetics Camo Color Corrector,https://media.ulta.com/i/ulta/2604945?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.0,,
Lakme 9to5 Overtime Shine Tinted Lip Oil,Lakme,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/b/6bc0c0dLAKME00001943_1.jpg",679.0,Deep,Beautiful lakme 9to5 overtime shine tinted lip oil for a flawless finish,#cf2093,Lipstick,Lakme 9to5 Overtime Shine Tinted Lip Oil,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/b/6bc0c0dLAKME00001943_1.jpg",679.0,,
Maybelline New York Sunkisser Highlighter + Blush,Maybelline New York,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/6/06f26efMAYBE00000895_1.jpg",699.0,Light,Beautiful maybelline new york sunkisser highlighter + blush for a flawless finish,#b4188f,Blush,Maybelline New York Sunkisser Highlighter + Blush,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/6/06f26efMAYBE00000895_1.jpg",699.0,,
FYOLI Triangle Pizza Powder Puff and Blender,FYOLI,https://www.nykaa.com/beauty-blog/wp-content/uploads/2023/12/beauty-blenders-5.jpg,150.0,Medium,Beautiful fyoli triangle pizza powder puff and blender for a flawless finish,#56a580,Powder,FYOLI Triangle Pizza Powder Puff and Blender,https://www.nykaa.com/beauty-blog/wp-content/uploads/2023/12/beauty-blenders-5.jpg,150.0,,
Lakme 9 To 5 Primer + Matte Lipstick - MP7 Blushing Nude,Lakme,https://images-static.naikaa.com/media/wysiwyg/uiTools/2023-7/bestselling-products-4.jpg,275.0,Deep,Beautiful lakme 9 to 5 primer + matte lipstick - mp7 blushing nude for a flawless finish,#208552,Lipstick,Lakme 9 To 5 Primer + Matte Lipstick - MP7 Blushing Nude,https://images-static.naikaa.com/media/wysiwyg/uiTools/2023-7/bestselling-products-4.jpg,275.0,,
Bye Bye Pores Pressed Pore Minimizing Setting Powder,IT Cosmetics,https://media.ulta.com/i/ulta/2587041?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,Rich,Beautiful bye bye pores pressed pore minimizing setting powder for a flawless finish,#8ca754,Powder,Bye Bye Pores Pressed Pore Minimizing Setting Powder,https://media.ulta.com/i/ulta/2587041?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,,
OLEHENRIKSEN Pout Preserve Hydrating Peptide Lip Treatment,OLEHENRIKSEN,https://media.ulta.com/i/ulta/2619657?w=400&$ProductCardNeutralBGLight$&fmt=auto,22.0,Rich,Beautiful olehenriksen pout preserve hydrating peptide lip treatment for a flawless finish,#687cb6,Lipstick,OLEHENRIKSEN Pout Preserve Hydrating Peptide Lip Treatment,https://media.ulta.com/i/ulta/2619657?w=400&$ProductCardNeutralBGLight$&fmt=auto,22.0,,
FENTY BEAUTY by Rihanna Match Stix Contour Skinstick,FENTY BEAUTY by Rihanna,https://media.ulta.com/i/ulta/2592591?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,Medium,Beautiful fenty beauty by rihanna match stix contour skinstick for a flawless finish,#5842be,Makeup,FENTY BEAUTY by Rihanna Match Stix Contour Skinstick,https://media.ulta.com/i/ulta/2592591?w=400&$ProductCardNeutralBGLight$&fmt=auto,32.0,,
"SUGAR POP Matte Finish Eyeliner Upto 24 Hrs wear Smudge-Proof, Water-Resistant, Quick Drying",SUGAR POP,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/5/1524ea8SUGAG00000124_1.jpg",199.0,Rich,"Beautiful sugar pop matte finish eyeliner upto 24 hrs wear smudge-proof, water-resistant, quick drying for a flawless finish",#d9fb8a,Eyeliner,"SUGAR POP Matte Finish Eyeliner Upto 24 Hrs wear Smudge-Proof, Water-Resistant, Quick Drying","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/5/1524ea8SUGAG00000124_1.jpg",199.0,,
Bombae X SUGAR Brow Define Kit - Trimmer & Brow Definer(Grey Brown),SUGAR,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/9/690f36aBOMAC00000023_1.jpg",1666.0,Rich,Beautiful bombae x sugar brow define kit - trimmer & brow definer(grey brown) for a flawless finish,#42fbf0,Makeup,Bombae X SUGAR Brow Define Kit - Trimmer & Brow Definer(Grey Brown),"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/9/690f36aBOMAC00000023_1.jpg",1666.0,,
Olaplex Eyelash Bond Building Serum,Olaplex,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/f/e/fe14c82OLAPL00000046_01.jpg",5900.0,Light,Beautiful olaplex eyelash bond building serum for a flawless finish,#fa2a6a,Mascara,Olaplex Eyelash Bond Building Serum,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/f/e/fe14c82OLAPL00000046_01.jpg",5900.0,,
NATASHA DENONA Hy-Glam Concealer,NATASHA DENONA,https://media.ulta.com/i/ulta/2608808?w=400&$ProductCardNeutralBGLight$&fmt=auto,30.0,Deep,Beautiful natasha denona hy-glam concealer for a flawless finish,#385b94,Concealer,NATASHA DENONA Hy-Glam Concealer,https://media.ulta.com/i/ulta/2608808?w=400&$ProductCardNeutralBGLight$&fmt=auto,30.0,,
M.A.C Studio Fix Powder Plus Compact Foundation,M.A.C,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/4/f/4fe19a2773602042951-01.jpg",3900.0,Deep,Beautiful m.a.c studio fix powder plus compact foundation for a flawless finish,#6f2511,Foundation,M.A.C Studio Fix Powder Plus Compact Foundation,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/4/f/4fe19a2773602042951-01.jpg",3900.0,,
Specialty Nail Polish,Holo Taco,https://media.ulta.com/i/ulta/2630744?w=400&$ProductCardNeutralBGLight$&fmt=auto,14.0,Rich,Beautiful specialty nail polish for a flawless finish,#36e7aa,Makeup,Specialty Nail Polish,https://media.ulta.com/i/ulta/2630744?w=400&$ProductCardNeutralBGLight$&fmt=auto,14.0,,
Lancome L' Absolu Rouge Drama Matte Non-Smudge Long-Stay Lipstick - 82 Pigalle,Lancome,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/3/4/34e73913614273308397_a1.jpg",3500.0,Rich,Beautiful lancome l' absolu rouge drama matte non-smudge long-stay lipstick - 82 pigalle for a flawless finish,#6722cb,Lipstick,Lancome L' Absolu Rouge Drama Matte Non-Smudge Long-Stay Lipstick - 82 Pigalle,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/3/4/34e73913614273308397_a1.jpg",3500.0,,
Anastasia Beverly Hills Brow Powder Duo,Anastasia Beverly Hills,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/d/1d5f85d689304055147_1.jpg",2700.0,Medium,Beautiful anastasia beverly hills brow powder duo for a flawless finish,#75d339,Powder,Anastasia Beverly Hills Brow Powder Duo,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/d/1d5f85d689304055147_1.jpg",2700.0,,
